001   ; Техническое подполье                                                ;       492,42 ;     116000,0 ;      16000,0 ;       1600,0 ;          0,0 ;              ;              ;          0,0 ; Окраска водоэмульсионными составами             ; Окраска водоэмульсионными составами ; Окраска водоэмульсионными составами    ; Окраска водоэмульсионными составами ;              ; ЗОНА   ; 0                                                                ; Зоны.АР                    ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
101   ; Обеденный зал на 176 мест                                           ;       150,08 ;      58640,0 ;       3200,0 ;       3700,0 ;          0,0 ;              ;              ;          0,0 ; Подвесной потолок "Аrmstrong" Ultima+ OP        ; -----                               ; Окраска водоэмульсионными составами    ; -----                               ;              ; ЗОНА   ; 0                                                                ; Зоны.АР                    ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;         55,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         0,20 ; СТЕНА  ; ГКЛ - обшивка по каркасу С623 55 мм                              ; Перегородки ГКЛ.АР         ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;         55,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         0,20 ; СТЕНА  ; ГКЛ - обшивка по каркасу С623 55 мм                              ; Перегородки ГКЛ.АР         ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;        260,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         0,96 ; СТЕНА  ; Стена г/б 200 + штукатурка 2х сторон                             ; Перегородки газоблок.АР    ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;        615,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         2,28 ; СТЕНА  ; ГКЛ - обшивка по каркасу С623 55 мм                              ; Перегородки ГКЛ.АР         ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       1800,0 ;       1350,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         3,83 ; СТЕНА  ; Бетон - В25 (стены)                                              ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       1990,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         7,36 ; СТЕНА  ; Бетон - В25 (стены)                                              ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       2600,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         5,53 ; СТЕНА  ; Стена г/б 300 + утеплитель 150 + штукатурка 2х сторон + н/фасад  ; Стены наружные газоблок.АР ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       2600,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         5,53 ; СТЕНА  ; Стена г/б 300 + утеплитель 150 + штукатурка 2х сторон + н/фасад  ; Стены наружные газоблок.АР ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       3000,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;        11,08 ; СТЕНА  ; Файерборд - перегородка C131.1 125 мм                            ; Перегородки ГКЛ.АР         ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       3000,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;        11,10 ; СТЕНА  ; Файерборд - перегородка C131.1 125 мм                            ; Перегородки ГКЛ.АР         ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       3050,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;        11,28 ; СТЕНА  ; Стена г/б 200 + штукатурка 2х сторон                             ; Перегородки газоблок.АР    ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       5600,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;        10,16 ; СТЕНА  ; Стена ж/б 200 + утеплитель 200 + н/фасад                         ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       5650,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;         8,92 ; СТЕНА  ; Стена г/б 300 + утеплитель 150 + штукатурка 2х сторон + н/фасад  ; Стены наружные газоблок.АР ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       6800,0 ;          0,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;        22,08 ; СТЕНА  ; Стена ж/б 200 + утеплитель 200 + н/фасад                         ; Стены.КЖ                   ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
0     ; 0                                                                   ; 0            ; 0            ; 0            ; 0            ; 0            ;       8640,0 ;       2550,0 ; 0            ; 0                                               ; 0                                   ; 0                                      ; 0                                   ;        25,17 ; СТЕНА  ; ГКЛВ - перегородка C112 125 мм                                   ; Перегородки ГКЛ.АР         ; 0       ; 0  ; 0            ; 0            ; 0     ; 0           
